VideoID,480p,1080p,Alt,Button,znám?,YouTubeURL,InstagramURL,FacebookURL,type,Figury,Video,Datum,notes,source,,
64,videos/103_360.mp4,videos/103.mp4,videos/104.mp4,Peťák a Renča,znám,,,,Choreo,,Peťák a Renča,,101+,,,
65,videos/105_360.mp4,videos/105.mp4,videos/106.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,,,
66,videos/107_360.mp4,videos/107.mp4,,Peťák a Renča,znám,,,,Figure,,Peťák a Renča,,another version of 108,,,
67,videos/108_360.mp4,videos/108.mp4,,Peťák a Renča,znám,,,,Figure,,Peťák a Renča,,another version of 107,,,
68,videos/109_360.mp4,videos/109.mp4,,Peťák a Renča,potřebuju zlepšit,,,,Choreo,Diagonal,Peťák a Renča,,,,,
69,videos/110_360.mp4,videos/110.mp4,,Peťák a Renča,potřebuju zlepšit,,,,Choreo,,Peťák a Renča,,,,,
70,videos/111_360.mp4,videos/111.mp4,videos/112.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,,,,
71,videos/113_360.mp4,videos/113.mp4,,Peťák a Renča,znám,,,,Choreo,,Peťák a Renča,,,,,
72,videos/114_360.mp4,videos/114.mp4,videos/115.mp4,Peťák a Renča,potřebuju zlepšit,,,,Choreo,,Peťák a Renča,,,,,
73,videos/116_360.mp4,videos/116.mp4,,Peťák a Renča,neznám,,,,Choreo,Diagonal,Peťák a Renča,,"117,118",,,
74,videos/117_360.mp4,videos/117.mp4,,Peťák a Renča,potřebuju zlepšit,,,,Choreo,Diagonal,Peťák a Renča,,"116,118",,,
75,videos/118_360.mp4,videos/118.mp4,,Peťák a Renča,znám,,,,Choreo,Diagonal,Peťák a Renča,,"116,117",,,
76,videos/119_360.mp4,videos/119.mp4,,Peťák a Renča,znám,,,,Choreo,"Diagonal, Lamfáza",Peťák a Renča,,,,,
77,videos/120_360.mp4,videos/120.mp4,videos/121.mp4,Peťák a Renča,neznám,,,,Choreo,,Peťák a Renča,,Tom a Kači,,,
78,videos/122_360.mp4,videos/122.mp4,,Peťák a Renča,potřebuju zlepšit,,,,Choreo,,Peťák a Renča,,,,,
79,videos/123_360.mp4,videos/123.mp4,videos/124.mp4,Peťák a Renča,potřebuju zlepšit,,,,Choreo,"Diagonal, SP",Peťák a Renča,2025-Prosinec,,,,
80,videos/125_360.mp4,videos/125.mp4,,Peťák a Renča,neznám,,,,Choreo,Footwork,Peťák a Renča,2025-Prosinec,,,,
81,videos/126_360.mp4,videos/126.mp4,,Peťák a Renča,neznám,,,,Figure,"Diagonal, Shaping",Peťák a Renča,2025-Prosinec,,,,
82,videos/127_360.mp4,videos/127.mp4,videos/128.mp4,Peťák a Renča,neznám,,,,Choreo,"Turn, Walking Cambre",Peťák a Renča,2025-Prosinec,,,,
1001,videos/1001_360.mp4,videos/1001.mp4,,Peťa a Peťa,,,,,Choreo,,,,,,,
1002,videos/monotonia 01_480.mp4,videos/monotonia 01.mp4,,Peťa a Peťa,,,,,,,,,,,,
1003,videos/monotonia 02_480.mp4,videos/monotonia 02.mp4,,Peťa a Peťa,,,,,,,,,,,,
1004,videos/monotonia 03_480.mp4,videos/monotonia 03.mp4,,Peťa a Peťa,,,,,,,,,,,,
1005,videos/monotonia 04_480.mp4,videos/monotonia 04.mp4,,Peťa a Peťa,,,,,,,,,,,,
1006,videos/monotonia 05_480.mp4,videos/monotonia 05.mp4,,Peťa a Peťa,,,,,,,,,,,,
1007,videos/monotonia 06_480.mp4,videos/monotonia 06.mp4,,Peťa a Peťa,,,,,,,,,,,,
1008,videos/monotonia 07_480.mp4,videos/monotonia 07.mp4,,Peťa a Peťa,,,,,,,,,,,,
1009,videos/clavaito 01_480.mp4,videos/clavaito 01.mp4,,Peťa a Peťa,,,,,,,,,,,,
1010,videos/clavaito 02_480.mp4,videos/clavaito 02.mp4,,Peťa a Peťa,,,,,,,,,,,,
1011,videos/clavaito 03_480.mp4,videos/clavaito 03.mp4,,Peťa a Peťa,,,,,,,,,,,,
2001,,,,YouTube,,https://www.youtube.com/shorts/4PnxLBYAGpA,,,,,,,,,,
2002,,,,YouTube,,https://www.youtube.com/watch?v=RJYozSaeHwk,,,,,,,,,,
3001,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=1B4ebbCpxRg&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=18,,,,,,2025-Červen,,,,
3002,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=niHs-OiT1cM&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=17,,,,,,2025-Srpen,,,,
3003,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=AbImF8LiFOU&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=16,,,,,,2025-Srpen,,,,
3004,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=dZX-bb1WinQ&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=15,,,,,,2025-Srpen,,,,
3005,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=vS_qc1HvHKc&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=14,,,,,,2025-Srpen,,,,
3006,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=hG9XOEPl8jU&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=13,,,,,,2025-Srpen,,,,
3007,,,,Trénink s Peťou,,https://www.youtube.com/watch?v=GTM2wQ550bI&list=PLZBw2SNy2Gk5Ohg5ECaaHW0F5w-LII3g-&index=12,,,,,,2025-Říjen,,,,
